Year,State,Total,Total minus Unknown,Type,By Type
1991,National,14373,13366,Handguns,11497
1991,National,14373,13366,Rifles,745
1991,National,14373,13366,Shotguns,1124
1991,National,14373,13366,Unknown,1007
1992,National,15489,14397,Handguns,12580
1992,National,15489,14397,Rifles,706
1992,National,15489,14397,Shotguns,1111
1992,National,15489,14397,Unknown,1092
1993,National,16136,15026,Handguns,13212
1993,National,16136,15026,Rifles,757
1993,National,16136,15026,Shotguns,1057
1993,National,16136,15026,Unknown,1110
1994,National,15463,14452,Handguns,12775
1994,National,15463,14452,Rifles,724
1994,National,15463,14452,Shotguns,953
1994,National,15463,14452,Unknown,1011
1995,National,13790,12865,Handguns,11282
1995,National,13790,12865,Rifles,654
1995,National,13790,12865,Shotguns,929
1995,National,13790,12865,Unknown,925
1996,National,11453,10512,Handguns,9266
1996,National,11453,10512,Rifles,561
1996,National,11453,10512,Shotguns,685
1996,National,11453,10512,Unknown,941
1997,National,10729,9722,Handguns,8441
1997,National,10729,9722,Rifles,638
1997,National,10729,9722,Shotguns,643
1997,National,10729,9722,Unknown,1007
1998,National,9143,8518,Handguns,7361
1998,National,9143,8518,Rifles,538
1998,National,9143,8518,Shotguns,619
1998,National,9143,8518,Unknown,625
1999,National,8259,7388,Handgun,6498
1999,National,8259,7388,Rifle,387
1999,National,8259,7388,Shotgun,503
1999,National,8259,7388,Unknown,871
2000,National,8493,7550,Handgun,6686
2000,National,8493,7550,Rifle,396
2000,National,8493,7550,Shotgun,468
2000,National,8493,7550,Unknown,943
2001,National,8719,7676,Handgun,6790
2001,National,8719,7676,Rifle,389
2001,National,8719,7676,Shotgun,497
2001,National,8719,7676,Unknown,1043
2002,National,9369,8132,Handgun,7176
2002,National,9369,8132,Rifle,480
2002,National,9369,8132,Shotgun,476
2002,National,9369,8132,Unknown,1237
2003,National,9638,8543,Handgun,7701
2003,National,9638,8543,Rifle,390
2003,National,9638,8543,Shotgun,452
2003,National,9638,8543,Unknown,1095
2004,Alabama,158,157,Handgun,137
2004,Alabama,158,157,Rifle,0
2004,Alabama,158,157,Shotgun,20
2004,Alabama,158,157,Unknown,1
2004,Alaska,17,17,Handgun,16
2004,Alaska,17,17,Rifle,0
2004,Alaska,17,17,Shotgun,1
2004,Alaska,17,17,Unknown,0
2004,Arizona,295,288,Handgun,244
2004,Arizona,295,288,Rifle,30
2004,Arizona,295,288,Shotgun,14
2004,Arizona,295,288,Unknown,7
2004,Arkansas,95,78,Handgun,69
2004,Arkansas,95,78,Rifle,3
2004,Arkansas,95,78,Shotgun,6
2004,Arkansas,95,78,Unknown,17
2004,California,1724,1586,Handgun,1442
2004,California,1724,1586,Rifle,75
2004,California,1724,1586,Shotgun,69
2004,California,1724,1586,Unknown,138
2004,Colorado,116,98,Handgun,85
2004,Colorado,116,98,Rifle,5
2004,Colorado,116,98,Shotgun,8
2004,Colorado,116,98,Unknown,18
2004,Connecticut,47,41,Handgun,39
